project_title,business_description,team_size,avg_team_experience,technical_skill_score,business_skill_score,market_size_usd,market_growth_rate,competition_level,project_domain,innovation_type,funding_stage,education_level,social_media_mentions,user_interest_score,mentor_feedback_score,competitiveness_score,competitiveness_class
Automated Financial Advisory System,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,1.65,6,6,3606747,4.81,7,AI,Incremental,MVP,PhD,4259,74,10,36.04,Low
Fitness Tracking and Recommendation App,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",3,3.97,10,1,5430213,21.09,2,E-commerce,Disruptive,Prototype,UG,2177,75,8,33.02,Low
IoT Smart Home Automation Solution,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,3,4.52,4,6,6415136,4.67,10,EdTech,Disruptive,Prototype,PhD,4377,99,4,17.91,Low
Sustainable Agriculture Analytics Tool,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,5,1.74,4,5,6678691,24.08,7,EdTech,Disruptive,Idea,PhD,695,12,8,31.76,Low
IoT Smart Home Automation Solution,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,1.03,10,8,5269384,7.5,7,EdTech,Disruptive,Idea,PG,2865,20,8,31.3,Low
Sustainable Agriculture Analytics Tool,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,0.66,1,9,3555579,15.78,10,HealthTech,Disruptive,Idea,UG,1465,65,4,19.46,Low
Online Mental Health Support Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,2,0.56,2,10,9879514,2.51,9,FinTech,Incremental,Idea,PG,1024,31,6,22.72,Low
Autonomous Delivery Drone System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",6,3.12,1,10,429063,14.12,4,E-commerce,Disruptive,Idea,UG,428,36,2,12.84,Low
AI Chatbot for Customer Service,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,3.32,4,4,5139934,4.03,5,HealthTech,Disruptive,Idea,UG,393,44,8,28.09,Low
AI-Based Crop Monitoring System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,4,2.8,1,2,7827208,23.07,1,FinTech,Disruptive,MVP,PG,3461,70,10,36.91,Low
Fitness Tracking and Recommendation App,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,0.98,9,10,3962800,12.2,4,AgriTech,Incremental,Idea,PhD,2655,82,10,39.78,Low
IoT Smart Home Automation Solution,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,6,0.36,3,1,9207699,12.06,7,E-commerce,Disruptive,Prototype,UG,4158,51,8,28.63,Low
Online Mental Health Support Platform,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,1,2.82,3,1,7874680,21.22,9,AgriTech,Disruptive,Idea,PhD,2226,16,5,20.76,Low
AI-Powered Fraud Detection System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,2,3.9,3,5,759146,3.93,4,FinTech,Incremental,MVP,UG,4683,50,3,13.19,Low
Sustainable Agriculture Analytics Tool,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,5,0.46,10,6,3678220,23.96,10,E-commerce,Disruptive,MVP,PhD,441,77,5,26.13,Low
Smart Traffic Management System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,3,0.24,4,8,3214728,19.99,2,AgriTech,Incremental,Idea,UG,482,53,1,11.66,Low
E-Learning Personalization Engine,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,4,2.94,5,9,9576599,5.14,3,E-commerce,Incremental,Prototype,PhD,1357,83,6,24.89,Low
Smart Waste Management Solution,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,0.37,10,4,9876896,20.35,3,HealthTech,Disruptive,MVP,PG,2057,46,3,18.19,Low
Cloud-Based Business Intelligence Platform,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,5,2.47,6,10,2889216,22.83,9,AI,Disruptive,Prototype,PG,4659,74,5,25.85,Low
Automated Financial Advisory System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,1,4.57,2,8,2424710,0.53,7,AI,Disruptive,Idea,UG,1824,17,8,27.45,Low
AI-Powered Fraud Detection System,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,6,2.48,10,1,4462827,4.36,5,EdTech,Incremental,MVP,PhD,2265,95,5,21.07,Low
Sustainable Agriculture Analytics Tool,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,4,1.58,9,5,6441337,9.32,9,AgriTech,Disruptive,Idea,PhD,4488,28,6,24.62,Low
Online Mental Health Support Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,3,0.3,10,3,1623858,16.4,7,E-commerce,Incremental,MVP,UG,1379,22,5,22.62,Low
Smart Waste Management Solution,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,2,2.24,1,6,9300036,8.85,7,AgriTech,Disruptive,MVP,PhD,521,38,7,25.63,Low
Autonomous Delivery Drone System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",3,2.92,2,1,1209609,21.05,9,AgriTech,Disruptive,Idea,UG,1622,93,1,9.97,Low
Virtual Reality Learning Environment,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,4,4.24,3,7,2642831,17.53,3,E-commerce,Incremental,Prototype,PhD,58,96,6,26.43,Low
Autonomous Delivery Drone System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,2,2.55,4,6,7292814,21.2,4,FinTech,Incremental,Prototype,PhD,1431,61,2,14.46,Low
Sustainable Agriculture Analytics Tool,"An event management platform that automates planning, scheduling, and coordination of events.",6,0.36,6,5,9200981,10.59,10,AgriTech,Disruptive,Prototype,UG,246,40,1,9.22,Low
Online Event Management Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,2,2.44,7,4,5578204,7.83,5,EdTech,Incremental,MVP,PhD,944,51,4,17.89,Low
Digital Marketplace for Local Businesses,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,1,3.56,7,9,3350891,19.61,10,FinTech,Disruptive,Idea,UG,2198,88,3,19.48,Low
AI-Based Crop Monitoring System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,2,0.27,1,9,4230935,24.01,5,EdTech,Incremental,Idea,PhD,4422,50,2,14.8,Low
Fitness Tracking and Recommendation App,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,5,2.41,1,9,7631127,16.57,3,EdTech,Disruptive,Prototype,UG,1419,86,3,17.03,Low
AI Resume Screening Tool,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,6,2.3,6,8,2167211,14.67,8,EdTech,Incremental,Idea,UG,138,21,10,37.55,Low
Automated Financial Advisory System,"An event management platform that automates planning, scheduling, and coordination of events.",6,2.2,4,3,56827,8.42,7,AgriTech,Incremental,Prototype,PhD,4280,65,7,26.08,Low
Virtual Reality Learning Environment,An AI-based fraud detection system that identifies suspicious financial activities in real time.,1,2.53,10,2,8027032,6.66,8,HealthTech,Incremental,MVP,UG,1016,97,3,15.87,Low
AI-Based Crop Monitoring System,"An event management platform that automates planning, scheduling, and coordination of events.",3,2.04,3,10,2812176,1.43,9,AI,Incremental,Idea,PG,3485,1,2,10.21,Low
E-Learning Personalization Engine,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,4.29,1,10,5788043,6.35,10,EdTech,Incremental,MVP,UG,4202,69,4,17.95,Low
Virtual Reality Learning Environment,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,3,4.23,8,7,3127654,18.03,7,E-commerce,Incremental,Idea,UG,1542,4,8,32.19,Low
Fitness Tracking and Recommendation App,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,0.2,8,3,8668697,17.9,7,AgriTech,Disruptive,MVP,PhD,3983,70,8,32.28,Low
Personalized Nutrition Recommendation System,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,4,3.13,6,3,3024767,0.69,7,AgriTech,Incremental,MVP,PhD,4709,49,2,9.82,Low
AI Chatbot for Customer Service,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,2,1.61,5,4,8294891,9.87,9,AI,Incremental,MVP,PG,2615,55,10,35.77,Low
Fitness Tracking and Recommendation App,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,2,3.49,6,4,764648,0.56,5,AgriTech,Incremental,Idea,UG,2705,31,4,15.73,Low
AI-Based Crop Monitoring System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,3,0.92,2,3,7446311,3.9,3,AI,Disruptive,MVP,UG,4411,93,6,22.14,Low
Online Mental Health Support Platform,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,6,2.96,10,4,4324635,9.75,10,EdTech,Incremental,MVP,UG,4198,84,3,16.83,Low
AI-Powered Fraud Detection System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,2.04,4,5,6338337,1.87,8,EdTech,Incremental,Prototype,UG,4968,30,4,15.67,Low
Personalized Nutrition Recommendation System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,4,0.37,10,1,7378911,2.63,4,E-commerce,Disruptive,MVP,PG,2577,26,8,28.35,Low
AI Chatbot for Customer Service,"An event management platform that automates planning, scheduling, and coordination of events.",3,3.45,5,7,3629060,23.29,4,HealthTech,Disruptive,Idea,UG,217,100,8,34.26,Low
AI Resume Screening Tool,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,1,1.09,10,2,4995433,7.59,8,E-commerce,Incremental,Idea,PG,609,50,8,30.12,Low
AI Resume Screening Tool,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,4,3.37,5,2,669209,8.54,4,HealthTech,Disruptive,Prototype,PG,4330,50,10,34.81,Low
AI-Based Crop Monitoring System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,4,4.96,7,5,4426697,1.55,10,FinTech,Disruptive,MVP,PhD,146,93,6,23.77,Low
Personalized Nutrition Recommendation System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,2,0.58,8,2,4955272,11.31,8,FinTech,Disruptive,Prototype,PG,4711,87,10,37.0,Low
AI-Powered Fraud Detection System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,6,3.24,7,4,6258498,1.34,7,E-commerce,Incremental,Idea,UG,1423,74,2,11.05,Low
Automated Financial Advisory System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,2,3.48,4,8,3583623,11.41,6,FinTech,Incremental,Idea,PhD,1339,71,5,22.3,Low
Automated Financial Advisory System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",2,1.76,9,10,6546816,9.98,3,E-commerce,Incremental,Idea,PhD,2816,71,3,18.12,Low
Online Mental Health Support Platform,"An event management platform that automates planning, scheduling, and coordination of events.",3,0.87,4,2,417763,12.37,10,AgriTech,Disruptive,Idea,UG,4482,9,4,16.45,Low
Virtual Reality Learning Environment,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,6,2.95,7,3,5093640,1.66,4,EdTech,Disruptive,MVP,UG,1443,28,2,9.89,Low
Fitness Tracking and Recommendation App,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,2.57,10,10,2481797,24.79,5,E-commerce,Disruptive,Idea,PG,2259,11,6,29.18,Low
Online Mental Health Support Platform,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,5,1.85,3,2,3487080,18.67,4,E-commerce,Incremental,Prototype,PG,1797,41,4,18.05,Low
IoT Smart Home Automation Solution,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",5,1.68,9,10,9771922,1.1,7,FinTech,Disruptive,Idea,UG,3046,61,6,25.14,Low
Cloud-Based Business Intelligence Platform,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",3,0.84,2,10,2016844,3.69,3,HealthTech,Incremental,MVP,UG,4335,24,3,13.82,Low
Automated Financial Advisory System,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,2,4.28,3,8,1179208,3.75,2,EdTech,Incremental,MVP,PG,4849,58,5,20.21,Low
Blockchain-Powered Digital Payments,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,4.18,10,10,6362291,19.39,9,E-commerce,Disruptive,Prototype,PhD,239,85,9,38.58,Low
AI-Based Crop Monitoring System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,2.56,8,2,8929470,18.27,4,E-commerce,Disruptive,Idea,UG,399,34,2,13.33,Low
Smart Healthcare Monitoring Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,5,4.88,10,3,1575832,15.55,7,AI,Incremental,Idea,UG,1803,85,2,14.71,Low
Sustainable Agriculture Analytics Tool,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,3,3.94,9,2,1256049,8.63,8,AgriTech,Incremental,Idea,UG,3268,71,4,18.45,Low
Autonomous Delivery Drone System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,4,4.77,8,3,3662342,0.06,5,HealthTech,Incremental,Prototype,UG,4595,42,9,31.15,Low
AI-Based Crop Monitoring System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,4.21,3,1,7883753,0.62,4,E-commerce,Incremental,Idea,UG,62,84,6,21.0,Low
Smart Waste Management Solution,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,2,4.21,8,3,665748,0.05,6,EdTech,Disruptive,Idea,UG,4731,12,8,27.55,Low
AI-Based Crop Monitoring System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,4.72,1,1,1254533,8.21,5,AI,Disruptive,Idea,PG,74,42,6,21.08,Low
Digital Marketplace for Local Businesses,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,1,1.34,7,6,5938165,3.95,7,FinTech,Incremental,MVP,PG,2038,38,8,29.45,Low
Cloud-Based Business Intelligence Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,3,4.04,7,1,8735234,20.23,9,E-commerce,Incremental,Prototype,PhD,1830,64,5,22.73,Low
IoT Smart Home Automation Solution,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,3,4.46,7,9,3773822,10.79,8,AgriTech,Disruptive,Idea,PhD,3668,80,7,29.56,Low
Cloud-Based Business Intelligence Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,4,3.94,5,4,6968012,9.37,1,EdTech,Incremental,MVP,UG,4620,37,2,11.31,Low
AI Chatbot for Customer Service,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",6,3.88,2,8,9809748,6.86,1,EdTech,Disruptive,Prototype,PhD,1385,58,3,14.53,Low
AI Resume Screening Tool,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,6,4.83,10,1,2920982,7.76,9,AgriTech,Incremental,Prototype,UG,4483,32,5,20.49,Low
Smart Traffic Management System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,4,4.14,8,4,1875299,15.2,8,AgriTech,Incremental,Prototype,PG,2387,94,6,26.52,Low
Automated Financial Advisory System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,5,2.0,6,4,9562070,5.97,9,HealthTech,Disruptive,Idea,PhD,1369,47,9,32.13,Low
Autonomous Delivery Drone System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,5,3.47,6,1,7608521,13.11,5,E-commerce,Incremental,Prototype,PG,3028,27,9,32.26,Low
AI-Based Crop Monitoring System,"An event management platform that automates planning, scheduling, and coordination of events.",1,4.9,3,4,5335035,2.79,7,AgriTech,Disruptive,MVP,PG,814,23,10,33.12,Low
Smart Traffic Management System,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,5,3.96,7,2,6633122,23.51,7,HealthTech,Incremental,Prototype,UG,4088,99,8,33.38,Low
Personalized Nutrition Recommendation System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,5,2.89,4,4,5769046,14.78,5,AgriTech,Disruptive,MVP,PG,341,39,8,30.14,Low
Personalized Nutrition Recommendation System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,4,0.89,8,5,8150881,13.21,6,AgriTech,Disruptive,Idea,PhD,2067,12,1,9.78,Low
IoT Smart Home Automation Solution,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,3,2.56,6,8,4818571,9.81,3,EdTech,Incremental,Prototype,UG,653,52,6,25.2,Low
Smart Healthcare Monitoring Platform,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,4,2.73,2,10,6817633,1.92,10,EdTech,Disruptive,MVP,PhD,1107,100,10,35.98,Low
Fitness Tracking and Recommendation App,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,2,1.08,3,5,8900038,3.27,6,HealthTech,Incremental,Idea,PG,2123,13,8,27.31,Low
Sustainable Agriculture Analytics Tool,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,3,2.0,3,3,3580527,2.06,7,FinTech,Incremental,Prototype,PhD,4761,70,4,15.61,Low
Digital Marketplace for Local Businesses,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,6,1.36,8,5,5215778,0.75,4,AI,Incremental,Idea,UG,3249,35,1,7.75,Low
Blockchain-Powered Digital Payments,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,6,2.33,4,5,68014,4.23,4,E-commerce,Disruptive,Prototype,PhD,3989,67,8,28.89,Low
Smart Traffic Management System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,5,4.99,7,7,92078,1.8,10,FinTech,Disruptive,MVP,UG,3295,74,8,30.04,Low
AI-Based Crop Monitoring System,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,3,4.97,2,5,8721242,2.15,1,E-commerce,Disruptive,Prototype,PhD,491,50,7,24.53,Low
Blockchain-Powered Digital Payments,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,3.33,8,10,9677505,12.42,5,EdTech,Disruptive,Idea,PhD,2484,68,5,24.24,Low
Automated Financial Advisory System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,4.76,10,10,5983211,22.27,5,AI,Incremental,Prototype,UG,1757,49,4,23.43,Low
AI-Based Crop Monitoring System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,2,0.94,10,5,5452320,4.63,3,HealthTech,Disruptive,Idea,PG,4101,42,3,15.27,Low
Smart Waste Management Solution,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,6,1.06,8,7,9645123,10.84,5,AI,Incremental,MVP,UG,479,30,7,28.27,Low
Online Event Management Platform,"An event management platform that automates planning, scheduling, and coordination of events.",3,3.71,2,9,1610264,13.72,3,FinTech,Disruptive,MVP,UG,1934,39,3,15.82,Low
Virtual Reality Learning Environment,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,5,4.75,5,7,9568208,23.64,1,FinTech,Incremental,Prototype,UG,4273,14,7,29.61,Low
E-Learning Personalization Engine,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,3,0.86,6,6,525160,9.43,2,HealthTech,Incremental,Idea,PG,4587,64,4,18.77,Low
Cloud-Based Business Intelligence Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,1,4.37,5,10,1158517,11.89,5,E-commerce,Disruptive,Idea,PhD,4677,22,5,22.32,Low
IoT Smart Home Automation Solution,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",3,4.74,2,7,7876436,22.49,2,EdTech,Incremental,MVP,PG,3116,24,9,34.68,Low
Smart Healthcare Monitoring Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,5,2.91,10,1,6354628,7.46,9,AI,Disruptive,Idea,UG,4674,94,1,9.67,Low
Fitness Tracking and Recommendation App,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,3,3.3,2,1,8339614,23.77,2,EdTech,Disruptive,Idea,UG,50,40,6,24.45,Low
AI Resume Screening Tool,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,2,3.14,3,6,9651129,6.23,5,EdTech,Incremental,Idea,PhD,3730,51,8,28.97,Low
AI-Powered Fraud Detection System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,2.64,4,9,980389,5.12,10,AI,Incremental,Idea,UG,4108,39,7,26.7,Low
Sustainable Agriculture Analytics Tool,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,6,0.71,8,2,3670046,9.82,1,EdTech,Incremental,Prototype,PG,4937,47,8,29.9,Low
E-Learning Personalization Engine,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",5,4.84,9,5,6668454,17.95,9,EdTech,Disruptive,MVP,UG,3217,36,8,32.51,Low
Smart Waste Management Solution,An AI-based fraud detection system that identifies suspicious financial activities in real time.,5,3.29,3,5,6848943,10.29,4,E-commerce,Disruptive,Idea,PhD,4477,91,6,24.28,Low
E-Learning Personalization Engine,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,6,1.99,3,10,5944053,6.26,10,HealthTech,Disruptive,MVP,PhD,1992,16,4,17.47,Low
Personalized Nutrition Recommendation System,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,4,1.27,8,3,4245305,24.12,2,E-commerce,Disruptive,Idea,PhD,1282,63,4,21.38,Low
Cloud-Based Business Intelligence Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,2,3.8,10,6,1144992,11.14,8,AI,Disruptive,Prototype,UG,3724,42,7,28.87,Low
E-Learning Personalization Engine,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",6,4.35,3,8,402467,7.58,8,HealthTech,Disruptive,Prototype,UG,3862,1,3,13.84,Low
AI Chatbot for Customer Service,"An event management platform that automates planning, scheduling, and coordination of events.",2,0.17,10,5,3195628,4.89,10,HealthTech,Incremental,Idea,PG,4856,24,5,20.96,Low
IoT Smart Home Automation Solution,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,2,2.53,2,3,5406058,6.3,1,AI,Disruptive,MVP,PhD,3411,76,9,31.28,Low
AI-Based Crop Monitoring System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,4,2.46,1,9,1726885,0.97,8,HealthTech,Disruptive,MVP,UG,2394,9,7,24.37,Low
Online Mental Health Support Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,4,3.96,6,2,1449809,23.56,1,EdTech,Disruptive,Idea,PG,4260,58,3,17.27,Low
AI-Based Crop Monitoring System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,0.99,3,3,9000700,19.07,10,E-commerce,Incremental,MVP,PG,615,51,6,24.63,Low
Autonomous Delivery Drone System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,3.55,4,9,6666766,6.58,4,HealthTech,Disruptive,Prototype,PG,1894,72,5,21.66,Low
Fitness Tracking and Recommendation App,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,2,4.92,8,5,7652852,16.1,3,AI,Incremental,Prototype,PG,3565,62,1,11.36,Low
Online Mental Health Support Platform,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,4,2.45,6,10,5631655,15.09,7,AgriTech,Disruptive,MVP,UG,3811,6,10,37.94,Low
AI-Based Crop Monitoring System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,6,1.3,8,3,5895409,2.39,2,FinTech,Incremental,MVP,PhD,4011,53,6,22.84,Low
Automated Financial Advisory System,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,4,3.92,7,7,4040794,5.25,10,FinTech,Disruptive,MVP,UG,954,98,5,22.21,Low
AI-Based Crop Monitoring System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,2,0.15,2,3,2160294,2.98,3,E-commerce,Disruptive,MVP,PG,2055,27,8,26.64,Low
AI Resume Screening Tool,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,2.37,6,8,7859883,14.16,1,HealthTech,Disruptive,Idea,UG,3481,3,6,25.09,Low
E-Learning Personalization Engine,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,4,0.17,1,4,5525381,3.11,8,AI,Incremental,Prototype,PhD,2819,34,1,5.8,Low
Virtual Reality Learning Environment,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,2,0.28,7,6,9486985,5.67,1,FinTech,Disruptive,Prototype,PG,652,1,6,23.05,Low
Fitness Tracking and Recommendation App,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,2,1.32,5,1,1499848,4.2,9,AgriTech,Disruptive,MVP,PhD,4193,62,3,12.88,Low
Smart Traffic Management System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",6,1.67,2,7,1524696,5.26,2,AgriTech,Incremental,Idea,PhD,154,48,7,25.71,Low
Smart Traffic Management System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,6,1.27,5,1,5703333,17.96,8,EdTech,Disruptive,Idea,PhD,1741,18,9,32.75,Low
E-Learning Personalization Engine,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,6,0.26,5,7,9690345,21.83,9,FinTech,Incremental,Prototype,UG,2117,85,7,30.67,Low
AI-Based Crop Monitoring System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,4.01,4,1,7365692,2.35,10,EdTech,Incremental,Idea,PG,153,30,3,11.57,Low
Smart Healthcare Monitoring Platform,"An event management platform that automates planning, scheduling, and coordination of events.",4,4.13,2,6,4704252,7.75,6,FinTech,Incremental,Prototype,UG,617,36,8,28.67,Low
E-Learning Personalization Engine,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,6,4.36,6,9,9390818,22.55,2,AI,Incremental,MVP,UG,809,78,6,28.57,Low
Cloud-Based Business Intelligence Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,5,2.64,2,10,4333790,22.64,7,FinTech,Incremental,Idea,UG,1616,56,1,12.25,Low
AI-Based Crop Monitoring System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,2.59,3,10,660236,19.57,7,EdTech,Disruptive,MVP,UG,2637,47,6,26.75,Low
AI-Based Crop Monitoring System,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,4,2.49,9,7,9828711,15.52,9,HealthTech,Incremental,Idea,UG,3557,71,7,30.32,Low
Smart Traffic Management System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",1,1.63,3,6,1277189,0.07,7,AgriTech,Disruptive,MVP,PG,3885,22,3,12.15,Low
Automated Financial Advisory System,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,3.16,5,8,8509522,18.47,8,E-commerce,Disruptive,Prototype,PhD,2143,87,8,33.33,Low
Online Mental Health Support Platform,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",1,1.71,3,1,8615702,11.81,8,E-commerce,Disruptive,Idea,PG,2673,15,1,6.86,Low
Automated Financial Advisory System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",2,2.93,1,3,5299992,22.84,6,EdTech,Incremental,Prototype,UG,903,6,1,8.89,Low
E-Learning Personalization Engine,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,6,0.6,8,2,2241590,19.11,1,AgriTech,Disruptive,Prototype,UG,2591,60,8,32.02,Low
